OpenYear,Helf,Sclass,Cono,Cname
104,2,GR,S33B,體育(二)-資管系
104,2,IM,A051,微積分
104,2,IM,A081,會計學
104,2,IM,A15A,物件導向程式設計Ⅰ
104,2,IM,B081,資訊管理導論
104,2,IM,D531,數位遊戲設計
104,2,IM,B02B,統計學(二)
104,2,IM,B051,資料庫管理
104,2,IM,B101,電子商務
104,2,IM,B121,網頁程式設計
104,2,IM,B651,科技英文
104,2,IM,C721,Python程式設計
104,2,IM,D531,數位遊戲設計
104,2,IM,B621,人力資源管理
104,2,IM,C03A,專案開發I(A)
104,2,IM,C03B,專案開發I(B)
104,2,IM,C03C,專案開發I(C)
104,2,IM,C03D,專案開發I(D)
104,2,IM,C03E,專案開發I(E)
104,2,IM,C041,作業系統
104,2,IM,C562,企業資源規劃與供應鏈管理
104,2,IM,C643,行動商務
104,2,IM,C662,Web 前端開發
104,2,IM,C683,CCNA網路認證課程
104,2,IM,C711,英文簡報技巧
104,2,IM,D531,數位遊戲設計
104,2,IM,D60A,企業實習Ⅰ
104,2,IM,D60C,企業實習Ⅲ
104,2,IM,F624,數位行銷
104,2,IM,C662,Web 前端開發
104,2,IM,D531,數位遊戲設計
104,2,IM,D541,網路安全技術
104,2,IM,D60A,企業實習Ⅰ
104,2,IM,D60C,企業實習Ⅲ
104,2,IM,F503,資訊科技與商業模式
104,2,IM,F624,數位行銷
104,2,IM,F631,巨量與開放資料應用開發
104,2,IMA,F551,供應鏈管理
